pitcher_key,pitcher,teams,PA,first_PA,later_PA,first_OPS,later_OPS,OPS_penalty,first_wOBA,first_wOBA_95_low,first_wOBA_95_high,later_wOBA,later_wOBA_95_low,later_wOBA_95_high,wOBA_penalty,first_RV_per_PA,later_RV_per_PA,RV_per_PA_penalty,quality_flag
alanavawter,Alana Vawter,"[""Blaze"", ""Spark""]",178,116,62,0.8585192697768762,1.0656479909451047,0.20712872116822845,0.382173043199527,0.2822027644104375,0.4821433219886165,0.46599476440319687,0.39020900938637143,0.5417805194200223,0.08382172120366987,0.01605839375688795,0.11907425043008599,0.10301585667319804,
aleshiaocasio,Aleshia Ocasio,"[""Blaze""]",226,122,104,0.9365513054037644,1.2271844660194176,0.29063316061565314,0.41502638203237563,0.339067249663104,0.4909855144016473,0.5008612332327754,0.4019830956224991,0.5997393708430517,0.0858348512003998,0.032021019012982196,0.12045652302043225,0.08843550400745005,
aliyahbinford,Aliyah Binford,"[""Blaze"", ""Volts""]",184,143,41,0.6049589545987603,0.7644415917843389,0.15948263718557865,0.2787629313822902,0.2130396291185237,0.3444862336460567,0.3365793911557629,0.224697703047697,0.44846107926382883,0.05781645977347272,-0.08211991641593634,0.027755419521085574,0.10987533593702192,
allycarda,Ally Carda,"[""Volts""]",75,44,31,0.8337320574162679,1.048984468339307,0.21525241092303915,0.3808012679258999,0.22264942920997557,0.5389531066418243,0.4487900879675277,0.2883226039526451,0.6092575719824103,0.06798882004162776,0.010889741703149252,0.10026995532927242,0.08938021362612317,
alyssadenham,Alyssa Denham,"[""Volts""]",24,9,15,0.47619047619047616,0.7948717948717949,0.31868131868131877,0.273530397784214,,,0.3537088466473649,,,0.0801784488631509,-0.2473728827670313,-0.01474246605956695,0.23263041670746434,small_later_sample
amberfiser,Amber Fiser,"[""Bandits""]",136,63,73,0.670845387335262,0.7441517386722867,0.07330635133702468,0.29365068410538964,0.17905171236979595,0.4082496558409833,0.3268652773393276,0.23540359862132232,0.41832695605733283,0.03321459323393794,-0.04697336461763338,-0.02130515144806355,0.02566821316956983,
bricopeland,Bri Copeland,"[""Bandits""]",36,28,8,1.443019943019943,2.55,1.1069800569800567,0.5833416483554086,0.2027885042396238,0.9638947924711934,0.8474517077461117,0.04490413039459851,1.6499992850976248,0.2641100593907031,0.17905277392258354,0.4247103836092123,0.24565760968662878,small_later_sample
brookemccubbin,Brooke McCubbin,"[""Blaze""]",27,15,12,0.7393939393939394,1.2222222222222223,0.48282828282828294,0.38989076378590415,0.12388085153276152,0.6559006760390468,0.5774592007034477,,,0.18756843691754355,0.019931100806891606,0.1864888612039186,0.166557760397027,small_later_sample
brookeyanez,Brooke Yanez,"[""Blaze""]",7,7,0,1.0476190476190477,,,0.5704361053761579,,,,,,,0.18456807707612616,,,small_later_sample
carleyhoover,Carley Hoover,"[""Blaze"", ""Cascade""]",40,26,14,0.9853479853479854,0.7142857142857143,-0.2710622710622711,0.44536158292562755,0.07837586917185446,0.8123472966794006,0.3302908202402534,-0.15061261402955556,0.8111942545100623,-0.11507076268537414,0.06286775078125478,-0.03783838977513786,-0.10070614055639264,small_later_sample
cassidycurd,Cassidy Curd,"[""Spark""]",41,38,3,0.6907894736842105,2.6666666666666665,1.975877192982456,0.30986429697898177,0.19896096148338568,0.4207676324745778,1.037643821413242,,,0.7277795244342602,-0.03602660196164802,0.6286379926971907,0.6646645946588386,small_later_sample
dallasescobedomagee,Dallas Escobedo Magee,"[""Talons""]",42,28,14,0.7802197802197802,0.7857142857142857,0.005494505494505475,0.33930461264375605,0.26346831221903727,0.41514091306847484,0.3495102734250519,0.04027210929364283,0.658748437556461,0.010205660781295867,-0.016156853608512527,-0.016856266484135064,-0.0006994128756225362,small_later_sample
devynnetz,Devyn Netz,"[""Bandits"", ""Blaze""]",115,101,14,0.7925274725274725,0.7142857142857142,-0.07824175824175827,0.34486519575747215,0.24242407088432247,0.4473063206306218,0.2901710158875718,-0.002505586680236316,0.5828476184553799,-0.05469417986990033,-0.02441726527769141,-0.014535186523086104,0.009882078754605304,small_later_sample
